序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
61,2025-02-14,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 5500股，成交价23.59，成交金额129,745.00元，现金-129,820.90元，交易后持股17800股",建仓成本75.90元,23.59,5500,129745.0,75.9,浮盈加仓50%；上涨波段50.0%拉回支撑；共振=MA5；盘中触及结构位成交,-75.9,,17800,持有17800股,-129820.9,基本价值线模型入选；基本面入选，等待价格/量能买点,基本面入选，等待价格/量能买点,0.5,21.0 / 26.18,2024-10-21 → 2025-01-24
62,2025-02-17,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 5500股，成交价23.44，成交金额128,920.00元，现金+128,780.12元，本次亏损-1,040.78元，收益率-0.80%，剩余12300股","亏损-1,040.78元 (-0.80%)",23.44,5500,128920.0,139.88,收盘条件止损；14:55收盘代理价成交,-1040.78,-0.8017,12300,持有12300股,128780.12,,,,,
63,2025-02-17,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2400股，成交价23.44，成交金额56,256.00元，现金+56,194.74元，本次盈利+6,098.45元，收益率+12.17%，剩余9900股","盈利6,098.45元 (+12.17%)",23.44,2400,56256.0,61.26,14:55收盘代理价成交,6098.45,12.1735,9900,持有9900股,56194.74,,,,,
64,2025-02-18,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 4500股，成交价23.28，成交金额104,760.00元，现金-104,821.28元，交易后持股14400股",建仓成本61.28元,23.28,4500,104760.0,61.28,浮盈加仓50%；上涨波段50.0%拉回支撑；共振=MA5；开盘已触发成交,-61.28,,14400,持有14400股,-104821.28,基本价值线模型入选；多周期均量扣低走高,多周期均量扣低走高,0.5,20.58 / 26.18,2024-12-12 → 2025-01-24
65,2025-02-19,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 4500股，成交价23.14，成交金额104,130.00元，现金+104,017.02元，本次亏损-804.27元，收益率-0.77%，剩余9900股",亏损-804.27元 (-0.77%),23.14,4500,104130.0,112.98,收盘条件止损；14:55收盘代理价成交,-804.27,-0.7673,9900,持有9900股,104017.02,,,,,
66,2025-02-19,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2400股，成交价23.14，成交金额55,536.00元，现金+55,475.46元，本次盈利+5,379.17元，收益率+10.74%，剩余7500股","盈利5,379.17元 (+10.74%)",23.14,2400,55536.0,60.54,14:55收盘代理价成交,5379.17,10.7377,7500,持有7500股,55475.46,,,,,
67,2025-02-20,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2800股，成交价22.94，成交金额64,232.00元，现金+64,162.31元，本次亏损-751.64元，收益率-1.16%，剩余4700股",亏损-751.64元 (-1.16%),22.94,2800,64232.0,69.69,收盘条件止损；14:55收盘代理价成交,-751.64,-1.1579,4700,持有4700股,64162.31,,,,,
68,2025-02-21,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 2100股，成交价22.869，成交金额48,024.38元，现金-48,053.39元，交易后持股6800股",建仓成本29.01元,22.869,2100,48024.38,29.01,"浮盈加仓50%；上涨波段62.5%拉回支撑；共振=MA5,MA60；盘中触及结构位成交",-29.01,,6800,持有6800股,-48053.39,基本价值线模型入选；多周期均量扣低走高,多周期均量扣低走高,0.625,17.35 / 26.18,2024-08-08 → 2025-01-24
69,2025-02-24,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2100股，成交价22.75，成交金额47,775.00元，现金+47,722.22元，本次亏损-331.16元，收益率-0.69%，剩余4700股",亏损-331.16元 (-0.69%),22.75,2100,47775.0,52.77,收盘条件止损；14:55收盘代理价成交,-331.16,-0.6892,4700,持有4700股,47722.22,,,,,
70,2025-02-25,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 2100股，成交价22.57，成交金额47,397.00元，现金-47,425.70元，交易后持股6800股",建仓成本28.70元,22.57,2100,47397.0,28.7,"浮盈加仓50%；上涨波段50.0%拉回支撑；共振=MA5,MA60；开盘已触发成交",-28.7,,6800,持有6800股,-47425.7,基本价值线模型入选；量能高于5/10日基准1.41倍；多周期均量扣低走高,量能高于5/10日基准1.41倍；多周期均量扣低走高,0.5,19.07 / 26.18,2024-04-25 → 2025-01-24
71,2025-03-13,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2100股，成交价22.9，成交金额48,090.00元，现金+48,036.91元，本次盈利+611.21元，收益率+1.29%，剩余4700股",盈利611.21元 (+1.29%),22.9,2100,48090.0,53.09,entry time condition；14:55收盘代理价成交,611.21,1.2888,4700,持有4700股,48036.91,,,,,
72,2025-03-17,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 2100股，成交价22.625，成交金额47,512.50元，现金-47,541.26元，交易后持股6800股",建仓成本28.76元,22.625,2100,47512.5,28.76,浮盈加仓50%；上涨波段50.0%拉回支撑；共振=MA5；盘中触及结构位成交,-28.76,,6800,持有6800股,-47541.26,基本价值线模型入选；基本面入选，等待价格/量能买点,基本面入选，等待价格/量能买点,0.5,19.07 / 26.18,2024-04-25 → 2025-01-24
73,2025-03-31,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2100股，成交价23.65，成交金额49,665.00元，现金+49,610.33元，本次盈利+2,069.08元，收益率+4.35%，剩余4700股","盈利2,069.08元 (+4.35%)",23.65,2100,49665.0,54.66,entry time condition；14:55收盘代理价成交,2069.08,4.3522,4700,持有4700股,49610.33,,,,,
74,2025-04-02,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 1300股，成交价23.785，成交金额30,920.50元，现金-30,940.96元，交易后持股6000股",建仓成本20.46元,23.785,1300,30920.5,20.46,浮盈加仓33%；上涨波段50%有效跌破后重新突破；盘中突破成交,-20.46,,6000,持有6000股,-30940.96,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；距离21日收盘高点3%以内；量能高于5/10日基准3.35倍；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；距离21日收盘高点3%以内；量能高于5/10日基准3.35倍；多周期均量扣低走高,0.5,21.39 / 26.18,2024-10-09 → 2025-01-24
75,2025-04-03,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 1300股，成交价23.55，成交金额30,615.00元，现金+30,579.38元，本次亏损-361.58元，收益率-1.17%，剩余4700股",亏损-361.58元 (-1.17%),23.55,1300,30615.0,35.62,收盘条件止损；14:55收盘代理价成交,-361.58,-1.1686,4700,持有4700股,30579.38,,,,,
76,2025-04-07,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 2200股，成交价32.553，成交金额71,616.60元，现金+71,538.90元，本次亏损-8,081.65元，收益率-10.15%，清仓","亏损-8,081.65元 (-10.15%)",32.553,2200,71616.6,77.7,hard space stop 32.553；盘中硬止损成交,-8081.65,-10.1502,0,清仓,71538.9,,,,,
77,2025-04-07,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 2100股，成交价23.06，成交金额48,426.00元，现金-48,455.21元，交易后持股6800股",建仓成本29.21元,23.06,2100,48426.0,29.21,"浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA5,MA10,MA20；开盘已触发成交",-29.21,,6800,持有6800股,-48455.21,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,0.75,17.72 / 25.15,2024-08-30 → 2025-04-01
78,2025-04-08,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2100股，成交价21.67，成交金额45,507.00元，现金+45,456.49元，本次亏损-2,998.72元，收益率-6.19%，剩余4700股","亏损-2,998.72元 (-6.19%)",21.67,2100,45507.0,50.51,收盘条件止损；14:55收盘代理价成交,-2998.72,-6.1886,4700,持有4700股,45456.49,,,,,
79,2025-04-08,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 4700股，成交价21.67，成交金额101,849.00元，现金+101,738.49元，本次盈利+3,633.26元，收益率+3.70%，清仓","盈利3,633.26元 (+3.70%)",21.67,4700,101849.0,110.51,14:55收盘代理价成交,3633.26,3.7034,0,清仓,101738.49,,,,,
80,2025-04-10,紫金矿业,sh.601899,买入,"买入紫金矿业(sh.601899) 12500股，成交价15.95，成交金额199,375.00元，现金-199,491.63元，交易后持股12500股",建仓成本116.63元,15.95,12500,199375.0,116.63,直接突破首仓；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-116.63,,12500,持有12500股,-199491.63,基本价值线模型入选；MA20/MA60同步上扬；量能高于5/10日基准1.61倍；多周期均量扣低走高,MA20/MA60同步上扬；量能高于5/10日基准1.61倍；多周期均量扣低走高,0.5,13.43 / 18.27,2024-09-09 → 2025-03-26
81,2025-04-11,紫金矿业,sh.601899,卖出,"卖出紫金矿业(sh.601899) 2500股，成交价16.53，成交金额41,325.00元，现金+41,278.68元，本次盈利+1,380.35元，收益率+3.46%，剩余10000股","盈利1,380.35元 (+3.46%)",16.53,2500,41325.0,46.33,14:55收盘代理价成交,1380.35,3.4597,10000,持有10000股,41278.68,,,,,
82,2025-04-16,紫金矿业,sh.601899,卖出,"卖出紫金矿业(sh.601899) 10000股，成交价17.1，成交金额171,000.00元，现金+170,814.46元，本次盈利+11,221.16元，收益率+7.03%，清仓","盈利11,221.16元 (+7.03%)",17.1,10000,171000.0,185.53,entry time condition；14:55收盘代理价成交,11221.16,7.0311,0,清仓,170814.46,,,,,
83,2025-05-09,中国电研,sh.688128,买入,"买入中国电研(sh.688128) 8400股，成交价23.76，成交金额199,584.00元，现金-199,700.76元，交易后持股8400股",建仓成本116.76元,23.76,8400,199584.0,116.76,直接突破首仓；价格突破21日收盘高点；盘中突破成交,-116.76,,8400,持有8400股,-199700.76,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,,,
84,2025-05-23,中国电研,sh.688128,卖出,"卖出中国电研(sh.688128) 8400股，成交价23.59，成交金额198,156.00元，现金+197,941.00元，本次亏损-1,759.76元，收益率-0.88%，清仓","亏损-1,759.76元 (-0.88%)",23.59,8400,198156.0,215.0,收盘条件止损；14:55收盘代理价成交,-1759.76,-0.8812,0,清仓,197941.0,,,,,
85,2025-07-16,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 2800股，成交价69.77，成交金额195,356.00元，现金-195,470.28元，交易后持股2800股",建仓成本114.28元,69.77,2800,195356.0,114.28,直接突破首仓；价格突破21日收盘高点；跳空越过触发价成交,-114.28,,2800,持有2800股,-195470.28,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.27倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.27倍；多周期均量扣低走高,,,
86,2025-07-17,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 2800股，成交价68.57，成交金额191,996.00元，现金+191,787.68元，本次亏损-3,682.60元，收益率-1.88%，清仓","亏损-3,682.60元 (-1.88%)",68.57,2800,191996.0,208.32,开盘未站上69.110；跳空止损成交,-3682.6,-1.884,0,清仓,191787.68,,,,,
87,2025-07-21,九号公司,sh.689009,买入,"买入九号公司(sh.689009) 3400股，成交价58.37，成交金额198,458.00元，现金-198,574.10元，交易后持股3400股",建仓成本116.10元,58.37,3400,198458.0,116.1,直接突破首仓；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-116.1,,3400,持有3400股,-198574.1,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑,MA20/MA60同步上扬；贴近上扬MA20支撑,0.5,48.18 / 68.3,2025-02-12 → 2025-05-23
88,2025-07-22,九号公司,sh.689009,卖出,"卖出九号公司(sh.689009) 3400股，成交价57.58，成交金额195,772.00元，现金+195,559.59元，本次亏损-3,014.51元，收益率-1.52%，清仓","亏损-3,014.51元 (-1.52%)",57.58,3400,195772.0,212.41,开盘未站上58.240；跳空止损成交,-3014.51,-1.5181,0,清仓,195559.59,,,,,
89,2025-07-22,九号公司,sh.689009,买入,"买入九号公司(sh.689009) 3400股，成交价57.815，成交金额196,571.00元，现金-196,685.99元，交易后持股3400股",建仓成本114.99元,57.815,3400,196571.0,114.99,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-114.99,,3400,持有3400股,-196685.99,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,0.5,47.33 / 68.3,2025-02-05 → 2025-05-23
90,2025-07-23,九号公司,sh.689009,卖出,"卖出九号公司(sh.689009) 3400股，成交价57.73，成交金额196,282.00元，现金+196,069.03元，本次亏损-616.96元，收益率-0.31%，清仓",亏损-616.96元 (-0.31%),57.73,3400,196282.0,212.97,开盘未站上57.815；跳空止损成交,-616.96,-0.3137,0,清仓,196069.03,,,,,
91,2025-07-23,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 2800股，成交价69.11，成交金额193,508.00元，现金-193,621.20元，交易后持股2800股",建仓成本113.20元,69.11,2800,193508.0,113.2,直接突破首仓；价格突破21日收盘高点；盘中突破成交,-113.2,,2800,持有2800股,-193621.2,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,,,
92,2025-08-13,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 800股，成交价79.22，成交金额63,376.00元，现金-63,413.07元，交易后持股3600股",建仓成本37.07元,79.22,800,63376.0,37.07,浮盈加仓33%；价格突破21日收盘高点；跳空越过触发价成交,-37.07,,3600,持有3600股,-63413.07,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.46倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.46倍；多周期均量扣低走高,,,
93,2025-08-14,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 800股，成交价78.49，成交金额62,792.00元，现金+62,723.87元，本次亏损-689.20元，收益率-1.09%，剩余2800股",亏损-689.20元 (-1.09%),78.49,800,62792.0,68.13,收盘条件止损；14:55收盘代理价成交,-689.2,-1.0868,2800,持有2800股,62723.87,,,,,
94,2025-08-15,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 800股，成交价80.0，成交金额64,000.00元，现金-64,037.44元，交易后持股3600股",建仓成本37.44元,80.0,800,64000.0,37.44,浮盈加仓33%；价格突破21日收盘高点；盘中突破成交,-37.44,,3600,持有3600股,-64037.44,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.39倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.39倍；多周期均量扣低走高,,,
95,2025-08-18,阳光电源,sz.300274,买入,"买入阳光电源(sz.300274) 2100股，成交价94.43，成交金额198,303.00元，现金-198,419.01元，交易后持股2100股",建仓成本116.01元,94.43,2100,198303.0,116.01,直接突破首仓；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-116.01,,2100,持有2100股,-198419.01,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,0.5,72.92 / 115.89,2024-09-09 → 2024-10-08
96,2025-08-19,阳光电源,sz.300274,卖出,"卖出阳光电源(sz.300274) 2100股，成交价93.94，成交金额197,274.00元，现金+197,059.96元，本次亏损-1,359.05元，收益率-0.68%，清仓","亏损-1,359.05元 (-0.68%)",93.94,2100,197274.0,214.04,开盘未站上94.405；跳空止损成交,-1359.05,-0.6849,0,清仓,197059.96,,,,,
97,2025-08-19,阳光电源,sz.300274,买入,"买入阳光电源(sz.300274) 2100股，成交价94.405，成交金额198,250.50元，现金-198,366.48元，交易后持股2100股",建仓成本115.98元,94.405,2100,198250.5,115.98,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-115.98,,2100,持有2100股,-198366.48,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,0.5,72.92 / 115.89,2024-09-09 → 2024-10-08
98,2025-08-20,阳光电源,sz.300274,卖出,"卖出阳光电源(sz.300274) 2100股，成交价94.21，成交金额197,841.00元，现金+197,626.34元，本次亏损-740.13元，收益率-0.37%，清仓",亏损-740.13元 (-0.37%),94.21,2100,197841.0,214.66,收盘条件止损；14:55收盘代理价成交,-740.13,-0.3731,0,清仓,197626.34,,,,,
99,2025-08-20,博俊科技,sz.300926,买入,"买入博俊科技(sz.300926) 6900股，成交价28.88，成交金额199,272.00元，现金-199,388.57元，交易后持股6900股",建仓成本116.57元,28.88,6900,199272.0,116.57,直接突破首仓；价格突破21日收盘高点；盘中突破成交,-116.57,,6900,持有6900股,-199388.57,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.72倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.72倍；多周期均量扣低走高,,,
100,2025-08-25,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 800股，成交价78.04，成交金额62,432.00元，现金+62,364.26元，本次亏损-1,673.18元，收益率-2.61%，剩余2800股","亏损-1,673.18元 (-2.61%)",78.04,800,62432.0,67.74,收盘条件止损；14:55收盘代理价成交,-1673.18,-2.6128,2800,持有2800股,62364.26,,,,,
101,2025-08-25,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 1100股，成交价78.04，成交金额85,844.00元，现金+85,750.86元，本次盈利+9,685.39元，收益率+12.73%，剩余1700股","盈利9,685.39元 (+12.73%)",78.04,1100,85844.0,93.14,14:55收盘代理价成交,9685.39,12.733,1700,持有1700股,85750.86,,,,,
102,2025-08-26,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 700股，成交价78.03，成交金额54,621.00元，现金-54,653.31元，交易后持股2400股",建仓成本32.31元,78.03,700,54621.0,32.31,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA20；开盘已触发成交,-32.31,,2400,持有2400股,-54653.31,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准3.81倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准3.81倍；多周期均量扣低走高,0.75,40.95 / 90.39,2025-01-23 → 2025-08-20
103,2025-08-27,博俊科技,sz.300926,卖出,"卖出博俊科技(sz.300926) 6900股，成交价28.81，成交金额198,789.00元，现金+198,573.31元，本次亏损-815.26元，收益率-0.41%，清仓",亏损-815.26元 (-0.41%),28.81,6900,198789.0,215.69,收盘条件止损；14:55收盘代理价成交,-815.26,-0.4089,0,清仓,198573.31,,,,,
104,2025-08-27,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 700股，成交价75.46，成交金额52,822.00元，现金+52,764.18元，本次亏损-1,889.13元，收益率-3.46%，剩余1700股","亏损-1,889.13元 (-3.46%)",75.46,700,52822.0,57.82,收盘条件止损；14:55收盘代理价成交,-1889.13,-3.4566,1700,持有1700股,52764.18,,,,,
105,2025-08-29,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 400股，成交价79.21，成交金额31,684.00元，现金-31,704.84元，交易后持股2100股",建仓成本20.84元,79.21,400,31684.0,20.84,浮盈加仓33%；上涨波段50%有效跌破后重新突破；盘中突破成交,-20.84,,2100,持有2100股,-31704.84,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,0.5,68.03 / 90.39,2025-07-31 → 2025-08-20
106,2025-09-01,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 400股，成交价77.81，成交金额31,124.00元，现金+31,087.88元，本次亏损-616.97元，收益率-1.95%，剩余1700股",亏损-616.97元 (-1.95%),77.81,400,31124.0,36.12,收盘条件止损；14:55收盘代理价成交,-616.97,-1.946,1700,持有1700股,31087.88,,,,,
107,2025-09-01,阳光电源,sz.300274,买入,"买入阳光电源(sz.300274) 2000股，成交价97.54，成交金额195,080.00元，现金-195,194.12元，交易后持股2000股",建仓成本114.12元,97.54,2000,195080.0,114.12,"33未上行首仓；上涨波段75.0%拉回支撑；共振=MA5,MA10；盘中触及结构位成交",-114.12,,2000,持有2000股,-195194.12,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,0.75,83.14 / 102.34,2024-10-18 → 2025-08-25
108,2025-09-05,匠心家居,sz.301061,买入,"买入匠心家居(sz.301061) 700股，成交价75.585，成交金额52,909.50元，现金-52,940.95元，交易后持股2400股",建仓成本31.45元,75.585,700,52909.5,31.45,浮盈加仓50%；上涨波段62.5%拉回支撑；共振=MA5；盘中触及结构位成交,-31.45,,2400,持有2400股,-52940.95,基本价值线模型入选；MA20/MA60同步上扬；多周期均量扣低走高,MA20/MA60同步上扬；多周期均量扣低走高,0.625,50.91 / 90.39,2025-06-23 → 2025-08-20
109,2025-09-08,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 700股，成交价74.84，成交金额52,388.00元，现金+52,330.61元，本次亏损-610.34元，收益率-1.15%，剩余1700股",亏损-610.34元 (-1.15%),74.84,700,52388.0,57.39,收盘条件止损；14:55收盘代理价成交,-610.34,-1.1529,1700,持有1700股,52330.61,,,,,
110,2025-09-09,阳光电源,sz.300274,卖出,"卖出阳光电源(sz.300274) 400股，成交价128.42，成交金额51,368.00元，现金+51,311.63元，本次盈利+12,272.81元，收益率+31.44%，剩余1600股","盈利12,272.81元 (+31.44%)",128.42,400,51368.0,56.37,14:55收盘代理价成交,12272.81,31.4374,1600,持有1600股,51311.63,,,,,
111,2025-09-12,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 500股，成交价72.54，成交金额36,270.00元，现金+36,228.73元，本次盈利+1,653.52元，收益率+4.78%，剩余1200股","盈利1,653.52元 (+4.78%)",72.54,500,36270.0,41.27,14:55收盘代理价成交,1653.52,4.7824,1200,持有1200股,36228.73,,,,,
112,2025-10-09,匠心家居,sz.301061,卖出,"卖出匠心家居(sz.301061) 1200股，成交价67.6，成交金额81,120.00元，现金+81,031.98元，本次亏损-1,948.53元，收益率-2.35%，清仓","亏损-1,948.53元 (-2.35%)",67.6,1200,81120.0,88.02,收盘条件止损；14:55收盘代理价成交,-1948.53,-2.3482,0,清仓,81031.98,,,,,
113,2025-10-09,拓荆科技,sh.688072,买入,"买入拓荆科技(sh.688072) 600股，成交价263.86，成交金额158,316.00元，现金-158,408.61元，交易后持股600股",建仓成本92.61元,263.86,600,158316.0,92.61,直接突破首仓；价格突破21日收盘高点；盘中突破成交,-92.61,,600,持有600股,-158408.61,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,,,
114,2025-10-14,拓荆科技,sh.688072,卖出,"卖出拓荆科技(sh.688072) 600股，成交价247.52，成交金额148,512.00元，现金+148,350.86元，本次亏损-10,057.75元，收益率-6.35%，清仓","亏损-10,057.75元 (-6.35%)",247.52,600,148512.0,161.14,收盘条件止损；14:55收盘代理价成交,-10057.75,-6.3492,0,清仓,148350.86,,,,,
115,2025-10-14,博俊科技,sz.300926,买入,"买入博俊科技(sz.300926) 6200股，成交价32.18，成交金额199,516.00元，现金-199,632.72元，交易后持股6200股",建仓成本116.72元,32.18,6200,199516.0,116.72,直接突破首仓；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-116.72,,6200,持有6200股,-199632.72,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,0.5,27.95 / 33.96,2025-09-12 → 2025-09-25
116,2025-10-17,博俊科技,sz.300926,卖出,"卖出博俊科技(sz.300926) 6200股，成交价30.59，成交金额189,658.00元，现金+189,452.22元，本次亏损-10,180.50元，收益率-5.10%，清仓","亏损-10,180.50元 (-5.10%)",30.59,6200,189658.0,205.78,收盘条件止损；14:55收盘代理价成交,-10180.5,-5.0996,0,清仓,189452.22,,,,,
117,2025-10-17,时代电气,sh.688187,买入,"买入时代电气(sh.688187) 3400股，成交价57.51，成交金额195,534.00元，现金-195,648.39元，交易后持股3400股",建仓成本114.39元,57.51,3400,195534.0,114.39,直接突破首仓；价格突破21日收盘高点；盘中突破成交,-114.39,,3400,持有3400股,-195648.39,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,,,
118,2025-10-20,时代电气,sh.688187,卖出,"卖出时代电气(sh.688187) 3400股，成交价55.26，成交金额187,884.00元，现金+187,680.15元，本次亏损-7,968.24元，收益率-4.07%，清仓","亏损-7,968.24元 (-4.07%)",55.26,3400,187884.0,203.85,开盘未站上57.510；跳空止损成交,-7968.24,-4.0727,0,清仓,187680.15,,,,,
119,2025-10-20,博俊科技,sz.300926,买入,"买入博俊科技(sz.300926) 6400股，成交价31.12，成交金额199,168.00元，现金-199,284.51元，交易后持股6400股",建仓成本116.51元,31.12,6400,199168.0,116.51,直接突破首仓；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-116.51,,6400,持有6400股,-199284.51,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,0.5,27.95 / 33.96,2025-09-12 → 2025-09-25
120,2025-10-21,博俊科技,sz.300926,卖出,"卖出博俊科技(sz.300926) 6400股，成交价30.92，成交金额197,888.00元，现金+197,673.29元，本次亏损-1,611.22元，收益率-0.81%，清仓","亏损-1,611.22元 (-0.81%)",30.92,6400,197888.0,214.71,开盘未站上30.955；跳空止损成交,-1611.22,-0.8085,0,清仓,197673.29,,,,,
121,2025-10-21,博俊科技,sz.300926,买入,"买入博俊科技(sz.300926) 6400股，成交价30.81，成交金额197,184.00元，现金-197,299.35元，交易后持股6400股",建仓成本115.35元,30.81,6400,197184.0,115.35,"33未上行首仓；上涨波段50.0%拉回支撑；共振=MA5,MA10,MA20；盘中触及结构位成交",-115.35,,6400,持有6400股,-197299.35,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20,MA20/MA60同步上扬；收盘站上MA20,0.5,27.66 / 33.96,2025-03-13 → 2025-09-25
122,2025-10-23,博俊科技,sz.300926,卖出,"卖出博俊科技(sz.300926) 6400股，成交价30.71，成交金额196,544.00元，现金+196,330.75元，本次亏损-968.60元，收益率-0.49%，清仓",亏损-968.60元 (-0.49%),30.71,6400,196544.0,213.25,收盘条件止损；14:55收盘代理价成交,-968.6,-0.4909,0,清仓,196330.75,,,,,
